SEXO,DT_NASCIMENTO,NACIONALIDADE_ITEM,NACIONALIDADE,CIDADE_NATURAL,ESTADO_CIVIL,CRA,BAIRRO,CIDADE,ESTADO,FORMA_INGRESSO,FORMA_EVASAO,NUM_VERSAO,PERIODO_INGRESSO,DT_EVASAO,PERIODO_EVASAO,PERIODO_EVASAO_FORMATADO,ANO_PERIODO_EVASAO,PERIODO_INGRESSO_FORMATADO,ANO_PERIODO_INGRESSO,ZONA,IDADE_INGRESSO,IDADE_EVASAO,FORMA_INGRESSO_SIMPLES,FORMA_EVASAO_DETALHADA,STATUS_EVASAO,CRA_ARREDONDADO,TEMPO_CURSO,DISTANCIA_URCA
M,1989-03-02,1,Brasileira,RIO DE JANEIRO,Solteiro(a),9.208,humaitá,rio de janeiro,Rio de Janeiro,VE - Vestibular,CON - Curso concluído,2008/1,2.0,2013-05-17,1.0,2013.1,2013.0,2008.2,2008.0,Zona Sul,19.0,23.0,Ampla Concorrencia,CON - Curso concluído,Concluído,9.0,4.5,3.33
M,1999-03-02,1,Brasileira,RIO DE JANEIRO,Solteiro(a),4.7358,humaitá,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,Sem evasão,2008/1,2.0,,,,,2017.2,2017.0,Zona Sul,18.0,,Ampla Concorrencia,Sem evasão,Cursando,4.5,,3.33
M,1984-04-02,1,Brasileira,SÃO PAULO,Solteiro(a),0.0,lins de vasconcelos,rio de janeiro,Rio de Janeiro,EN - ENEM,ABA - Abandono do curso,2008/1,2.0,2012-05-15,1.0,2012.1,2012.0,2011.2,2011.0,Zona Norte,27.0,27.0,Ampla Concorrencia,ABA - Abandono do curso,Evasão,0.0,0.5,12.73
M,1987-04-02,1,Brasileira,RIO DE JANEIRO,Solteiro(a),2.4878,copacabana,rio de janeiro,Rio de Janeiro,VE - Vestibular,ABA - Abandono do curso,2008/1,1.0,2012-05-21,1.0,2012.1,2012.0,2005.1,2005.0,Zona Sul,17.0,24.0,Ampla Concorrencia,ABA - Abandono do curso,Evasão,2.5,7.0,2.59
F,1988-04-02,1,Brasileira,RIO DE JANEIRO,Solteiro(a),7.9929,botafogo,rio de janeiro,Rio de Janeiro,EN - ENEM,CON - Curso concluído,2008/1,2.0,2015-02-04,1.0,2015.1,2015.0,2010.2,2010.0,Zona Sul,22.0,26.0,Ampla Concorrencia,CON - Curso concluído,Concluído,8.0,4.5,1.37
M,1990-04-02,1,Brasileira,RIO DE JANEIRO,Solteiro(a),2.0545,flamengo,rio de janeiro,Rio de Janeiro,VE - Vestibular,ABA - Abandono do curso,2008/1,2.0,2012-05-15,1.0,2012.1,2012.0,2009.2,2009.0,Zona Sul,19.0,21.0,Ampla Concorrencia,ABA - Abandono do curso,Evasão,2.0,2.5,2.33
M,1985-05-02,1,Brasileira,RIO DE JANEIRO,Solteiro(a),0.0,tijuca,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,ABA - Abandono do curso,2008/1,2.0,2019-05-20,1.0,2019.1,2019.0,2018.2,2018.0,Zona Norte,33.0,33.0,Ampla Concorrencia,ABA - Abandono do curso,Evasão,0.0,0.5,7.39
M,1957-06-02,1,Brasileira,PETRÓPOLIS,Casado(a),0.0,botafogo,rio de janeiro,Rio de Janeiro,EN - ENEM,CAN - Cancelamento Geral do curso,2008/1,1.0,2011-06-13,1.0,2011.1,2011.0,2010.1,2010.0,Zona Sul,52.0,53.0,Ampla Concorrencia,CAN - Cancelamento Geral do curso,Evasão,0.0,1.0,1.37
M,1992-06-02,1,Brasileira,RIO DE JANEIRO,Solteiro(a),6.6771,fonseca,niteroi,Rio de Janeiro,EN - ENEM,CON - Curso concluído,2008/1,2.0,2016-08-29,2.0,2016.2,2016.0,2010.2,2010.0,Niterói/São Gonçalo,18.0,24.0,Ampla Concorrencia,CON - Curso concluído,Concluído,6.5,6.0,11.6
M,2000-06-02,1,Brasileira,SÃO PAULO,Solteiro(a),0.0,barra da tijuca,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,ABA - Abandono do curso,2008/1,1.0,2018-10-18,2.0,2018.2,2018.0,2018.1,2018.0,Zona Oeste,17.0,18.0,Ampla Concorrencia,ABA - Abandono do curso,Evasão,0.0,0.5,20.93
M,1963-07-02,1,Brasileira,CORDEIRO,Solteiro(a),8.74,barra da tijuca,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,Sem evasão,2023/2,2.0,,,,,2020.2,2020.0,Zona Oeste,56.0,,Ampla Concorrencia,Sem evasão,Cursando,8.5,,20.93
M,1987-07-02,1,Brasileira,RIO DE JANEIRO,Solteiro(a),7.9919,andaraí,rio de janeiro,Rio de Janeiro,EN - ENEM,CON - Curso concluído,2008/1,1.0,2017-08-30,2.0,2017.2,2017.0,2012.1,2012.0,Zona Norte,24.0,29.0,Ampla Concorrencia,CON - Curso concluído,Concluído,8.0,5.5,9.2
M,1991-07-02,1,Brasileira,RIO DE JANEIRO,Solteiro(a),7.4723,brás de pina,rio de janeiro,Rio de Janeiro,VE - Vestibular,CON - Curso concluído,2008/1,1.0,2015-03-17,1.0,2015.1,2015.0,2009.1,2009.0,Zona Norte,17.0,23.0,Ampla Concorrencia,CON - Curso concluído,Concluído,7.5,6.0,18.98
M,2000-07-02,1,Brasileira,MACAE,Solteiro(a),5.7297,portuguesa,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,ABA - Abandono do curso,2008/1,2.0,2023-07-21,1.0,2023.1,2023.0,2020.2,2020.0,Zona Norte,19.0,22.0,Ampla Concorrencia,ABA - Abandono do curso,Evasão,5.5,2.5,17.53
M,1976-08-02,1,Brasileira,RIO DE JANEIRO,Solteiro(a),2.4,centro,rio de janeiro,Rio de Janeiro,VE - Vestibular,CAN - Cancelamento Geral do curso,2008/1,1.0,2013-07-29,1.0,2013.1,2013.0,2007.1,2007.0,Centro,30.0,36.0,Ampla Concorrencia,CAN - Cancelamento Geral do curso,Evasão,2.5,6.0,23.57
M,1981-08-02,1,Brasileira,RIO DE JANEIRO,Solteiro(a),6.7717,centro,rio de janeiro,Rio de Janeiro,VE - Vestibular,CON - Curso concluído,2008/1,2.0,2013-04-10,1.0,2013.1,2013.0,2005.2,2005.0,Centro,23.0,31.0,Ampla Concorrencia,CON - Curso concluído,Concluído,7.0,7.5,23.57
M,1989-08-02,1,Brasileira,RIO DE JANEIRO,Solteiro(a),1.7466,cosme velho,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,JUB - Jubilamento,2008/1,2.0,2017-06-26,1.0,2017.1,2017.0,2016.2,2016.0,Zona Sul,26.0,27.0,Ampla Concorrencia,JUB - Jubilamento,Evasão,1.5,0.5,3.63
M,1998-09-02,1,Brasileira,RIO DE JANEIRO,Solteiro(a),8.5899,vila da penha,rio de janeiro,Rio de Janeiro,SISU Escola Publica - Indep. de Renda,Sem evasão,2008/1,1.0,,,,,2020.1,2020.0,Zona Norte,21.0,,Cotas,Sem evasão,Cursando,8.5,,19.04
M,2004-09-02,1,Brasileira,RIO DE JANEIRO,Solteiro(a),8.573,vila valqueire,rio de janeiro,Rio de Janeiro,SISU Escola Publica - Indep. de Renda,Sem evasão,2023/2,2.0,,,,,2023.2,2023.0,Zona Oeste,18.0,,Cotas,Sem evasão,Cursando,8.5,,21.55
M,1984-10-02,1,Brasileira,RIO DE JANEIRO,Solteiro(a),5.88,copacabana,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,CAN - Cancelamento Geral do curso,2008/1,1.0,2019-04-08,1.0,2019.1,2019.0,2016.1,2016.0,Zona Sul,31.0,34.0,Ampla Concorrencia,CAN - Cancelamento Geral do curso,Evasão,6.0,3.0,2.59
M,1989-10-02,1,Brasileira,NOVA IGUAÇU,Solteiro(a),8.8,taquara,rio de janeiro,Rio de Janeiro,SISU Escola Publica - Indep. de Renda,Sem evasão,2023/2,1.0,,,,,2021.1,2021.0,Zona Oeste,31.0,,Cotas,Sem evasão,Cursando,9.0,,22.51
M,1995-10-02,1,Brasileira,RIO DE JANEIRO,Solteiro(a),1.0769,praça da bandeira,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,JUB - Jubilamento,2008/1,1.0,2023-06-23,1.0,2023.1,2023.0,2014.1,2014.0,Zona Norte,18.0,27.0,Ampla Concorrencia,JUB - Jubilamento,Evasão,1.0,9.0,6.64
M,1990-12-02,1,Brasileira,RIO DE JANEIRO,Solteiro(a),8.1181,tijuca,rio de janeiro,Rio de Janeiro,VE - Vestibular,CON - Curso concluído,2008/1,2.0,2014-02-19,1.0,2014.1,2014.0,2009.2,2009.0,Zona Norte,18.0,23.0,Ampla Concorrencia,CON - Curso concluído,Concluído,8.0,4.5,7.39
M,1992-12-02,1,Brasileira,RIO DE JANEIRO,Solteiro(a),5.001,centro,niteroi,Rio de Janeiro,EN - ENEM,Sem evasão,2008/1,1.0,,,,,2011.1,2011.0,Centro,18.0,,Ampla Concorrencia,Sem evasão,Cursando,5.0,,23.57
M,1985-01-03,1,Brasileira,RIO DE JANEIRO,Solteiro(a),6.9255,laranjeiras,rio de janeiro,Rio de Janeiro,VE - Vestibular,CON - Curso concluído,2008/1,1.0,2013-10-10,2.0,2013.2,2013.0,2009.1,2009.0,Zona Sul,23.0,28.0,Ampla Concorrencia,CON - Curso concluído,Concluído,7.0,4.5,2.99
M,1989-01-03,1,Brasileira,RIO DE JANEIRO,Solteiro(a),2.1423,botafogo,rio de janeiro,Rio de Janeiro,VE - Vestibular,JUB - Jubilamento,2008/1,2.0,2015-10-06,2.0,2015.2,2015.0,2009.2,2009.0,Zona Sul,20.0,26.0,Ampla Concorrencia,JUB - Jubilamento,Evasão,2.0,6.0,1.37
M,1998-01-03,1,Brasileira,RIO DE JANEIRO,Solteiro(a),6.3673,flamengo,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,Sem evasão,2008/1,1.0,,,,,2017.1,2017.0,Zona Sul,18.0,,Ampla Concorrencia,Sem evasão,Cursando,6.5,,2.33
M,1970-03-03,1,Brasileira,RIO DE JANEIRO,Solteiro(a),0.075,coelho neto,rio de janeiro,Rio de Janeiro,VE - Vestibular,ABA - Abandono do curso,2005/2,2.0,2008-03-24,1.0,2008.1,2008.0,2007.2,2007.0,Zona Norte,37.0,37.0,Ampla Concorrencia,ABA - Abandono do curso,Evasão,0.0,0.5,23.06
M,1982-03-03,1,Brasileira,,Solteiro(a),0.2307,barra da tijuca,rio de janeiro,Rio de Janeiro,VE - Vestibular,JUB - Jubilamento,2008/1,2.0,2013-08-23,1.0,2013.1,2013.0,2009.2,2009.0,Zona Oeste,27.0,30.0,Ampla Concorrencia,JUB - Jubilamento,Evasão,0.0,3.5,20.93
M,1983-03-03,1,Brasileira,RIO DE JANEIRO,Solteiro(a),8.8407,santissimo,rio de janeiro,Rio de Janeiro,EN - ENEM,CAN - Cancelamento Geral do curso,2008/1,1.0,2015-10-22,2.0,2015.2,2015.0,2012.1,2012.0,Zona Oeste,28.0,32.0,Ampla Concorrencia,CAN - Cancelamento Geral do curso,Evasão,9.0,3.5,37.14
F,1989-03-03,1,Brasileira,RIO DE JANEIRO,Solteiro(a),5.1666,copacabana,rio de janeiro,Rio de Janeiro,VE - Vestibular,ABA - Abandono do curso,2005/2,1.0,2009-08-08,2.0,2009.2,2009.0,2007.1,2007.0,Zona Sul,17.0,20.0,Ampla Concorrencia,ABA - Abandono do curso,Evasão,5.0,2.5,2.59
